Country,Col.Name,Country.Code,Download.Code
Australia,AUSTRALIA.Standard..Large.Mid.Cap..,AU_A,"60,C,30"
Austria,AUSTRIA.Standard..Large.Mid.Cap..,AT_A,"61,C,30"
Belgium,BELGIUM.Standard..Large.Mid.Cap..,BE_A,"62,C,30"
Brazil,BRAZIL.Standard..Large.Mid.Cap..,BR_A,"63,C,30"
Canada,CANADA.Standard..Large.Mid.Cap..,CA_A,"64,C,30"
Chile,CHILE.Standard..Large.Mid.Cap..,CL_A,"65,C,30"
China,CHINA.Standard..Large.Mid.Cap..,CN_A,"2713,C,30"
Colombia,COLOMBIA.Standard..Large.Mid.Cap..,CO_A,"1890,C,30"
Czech Republic,CZECH.REPUBLIC.Standard..Large.Mid.Cap..,CZ_A,"68,C,30"
Denmark,DENMARK.Standard..Large.Mid.Cap..,DK_A,"69,C,30"
Egypt,EGYPT.Standard..Large.Mid.Cap..,EG_A,"2877,C,30"
Finland,FINLAND.Standard..Large.Mid.Cap..,FI_A,"70,C,30"
France,FRANCE.Standard..Large.Mid.Cap..,FR_A,"71,C,30"
Germany,GERMANY.Standard..Large.Mid.Cap..,DE_A,"73,C,30"
Greece,GREECE.Standard..Large.Mid.Cap..,GR_A,"1146,C,30"
Hong Kong,HONG.KONG.Standard..Large.Mid.Cap..,HK_A,"75,C,30"
Hungary,HUNGARY.Standard..Large.Mid.Cap..,HU_A,"76,C,30"
India,INDIA.Standard..Large.Mid.Cap..,IN_A,"77,C,30"
Indonesia,INDONESIA.Standard..Large.Mid.Cap..,ID_A,"2879,C,30"
Ireland,IRELAND.Standard..Large.Mid.Cap..,IE_A,"79,C,30"
Israel,ISRAEL.Standard..Large.Mid.Cap..,IL_A,"2352,C,30"
Italy,ITALY.Standard..Large.Mid.Cap..,IT_A,"81,C,30"
Japan,JAPAN.Standard..Large.Mid.Cap..,JP_A,"83,C,30"
"Korea, Republic of",KOREA.Standard..Large.Mid.Cap..,KR_A,"85,C,30"
Malaysia,MALAYSIA.Standard..Large.Mid.Cap..,MY_A,"2880,C,30"
Mexico,MEXICO.Standard..Large.Mid.Cap..,MX_A,"2,C,30"
Netherlands,NETHERLANDS.Standard..Large.Mid.Cap..,NL_A,"89,C,30"
New Zealand,NEW.ZEALAND.Standard..Large.Mid.Cap..,NZ_A,"90,C,30"
Norway,NORWAY.Standard..Large.Mid.Cap..,NO_A,"91,C,30"
Peru,PERU.Standard..Large.Mid.Cap..,PE_A,"2323,C,30"
Philippines,PHILIPPINES.Standard..Large.Mid.Cap..,PH_A,"4,C,30"
Poland,POLAND.Standard..Large.Mid.Cap..,PL_A,"95,C,30"
Portugal,PORTUGAL.Standard..Large.Mid.Cap..,PT_A,"1190,C,30"
Qatar,QATAR.Standard..Large.Mid.Cap..,QA_A,"25558,C,30"
Russian Federation,RUSSIA.ADR.GDR.Standard..Large.Mid.Cap..,RU_A,"92392,C,30"
Singapore,SINGAPORE.Standard..Large.Mid.Cap..,SG_A,"181,C,30"
South Africa,SOUTH.AFRICA.Standard..Large.Mid.Cap..,ZA_A,"2428,C,30"
Spain,SPAIN.Standard..Large.Mid.Cap..,ES_A,"98,C,30"
Sweden,SWEDEN.Standard..Large.Mid.Cap..,SE_A,"99,C,30"
Switzerland,SWITZERLAND.Standard..Large.Mid.Cap..,CH_A,"100,C,30"
"Taiwan, Province of China",TAIWAN.Standard..Large.Mid.Cap..,TW_A,"66,C,30"
Thailand,THAILAND.Standard..Large.Mid.Cap..,TH_A,"2881,C,30"
Turkey,TURKEY.Standard..Large.Mid.Cap..,TR_A,"102,C,30"
United Arab Emirates,UNITED.ARAB.EMIRATES.Standard..Large.Mid.Cap..,AE_A,"25560,C,30"
United Kingdom,UNITED.KINGDOM.Standard..Large.Mid.Cap..,GB_A,"103,C,30"
United States,USA.Standard..Large.Mid.Cap..,US_A,"104,C,30"
EAFE,EAFE.Standard..Large.Mid.Cap..,__EAFE_A,"108,C,30"
Emerging,EM..EMERGING.MARKETS..Standard..Large.Mid.Cap..,__EM_A,"13,C,30"
Developed,WORLD.Standard..Large.Mid.Cap..,__DM_A,"106,C,30"
Australia,AUSTRALIA.VALUE.Standard..Large.Mid.Cap..Value,AU_V,"2897,V,30"
Austria,AUSTRIA.VALUE.Standard..Large.Mid.Cap..Value,AT_V,"2899,V,30"
Belgium,BELGIUM.VALUE.Standard..Large.Mid.Cap..Value,BE_V,"2901,V,30"
Brazil,BRAZIL.VALUE.Standard..Large.Mid.Cap..Value,BR_V,"3003,V,30"
Canada,CANADA.VALUE.Standard..Large.Mid.Cap..Value,CA_V,"2903,V,30"
Chile,CHILE.VALUE.Standard..Large.Mid.Cap..Value,CL_V,"3005,V,30"
China,CHINA.VALUE.Standard..Large.Mid.Cap..Value,CN_V,"3007,V,30"
Colombia,COLOMBIA.VALUE.Standard..Large.Mid.Cap..Value,CO_V,"3009,V,30"
Czech Republic,CZECH.REPUBLIC.VALUE.Standard..Large.Mid.Cap..Value,CZ_V,"3011,V,30"
Denmark,DENMARK.VALUE.Standard..Large.Mid.Cap..Value,DK_V,"2905,V,30"
Egypt,EGYPT.VALUE.Standard..Large.Mid.Cap..Value,EG_V,"3013,V,30"
Finland,FINLAND.VALUE.Standard..Large.Mid.Cap..Value,FI_V,"2909,V,30"
France,FRANCE.VALUE.Standard..Large.Mid.Cap..Value,FR_V,"2911,V,30"
Germany,GERMANY.VALUE.Standard..Large.Mid.Cap..Value,DE_V,"2913,V,30"
Greece,GREECE.VALUE.Standard..Large.Mid.Cap..Value,GR_V,"3015,V,30"
Hong Kong,HONG.KONG.VALUE.Standard..Large.Mid.Cap..Value,HK_V,"2915,V,30"
Hungary,HUNGARY.VALUE.Standard..Large.Mid.Cap..Value,HU_V,"3017,V,30"
India,INDIA.VALUE.Standard..Large.Mid.Cap..Value,IN_V,"3019,V,30"
Indonesia,INDONESIA.VALUE.Standard..Large.Mid.Cap..Value,ID_V,"3021,V,30"
Ireland,IRELAND.VALUE.Standard..Large.Mid.Cap..Value,IE_V,"2917,V,30"
Israel,ISRAEL.VALUE.Standard..Large.Mid.Cap..Value,IL_V,"3025,V,30"
Italy,ITALY.VALUE.Standard..Large.Mid.Cap..Value,IT_V,"2919,V,30"
Japan,JAPAN.VALUE.Standard..Large.Mid.Cap..Value,JP_V,"2921,V,30"
"Korea, Republic of",KOREA.VALUE.Standard..Large.Mid.Cap..Value,KR_V,"3031,V,30"
Malaysia,MALAYSIA.VALUE.Standard..Large.Mid.Cap..Value,MY_V,"17251,V,30"
